epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.67164,0.7863,0.5,1,0.71261,2.142e-05,2.142e-05,2.142e-05
2,6.42228,0.74163,0.65,1,0.67635,4.83307e-05,4.83307e-05,4.83307e-05
3,8.67215,0.60661,0.8,1,0.61949,7.33564e-05,7.33564e-05,7.33564e-05
4,10.9829,0.4889,0.85,1,0.56406,9.64971e-05,9.64971e-05,9.64971e-05
5,13.2501,0.34502,0.7,1,0.5436,0.000117753,0.000117753,0.000117753
6,15.5224,0.36756,0.85,1,0.50822,0.000137124,0.000137124,0.000137124
7,18.0139,0.2292,0.85,1,0.47129,0.00015461,0.00015461,0.00015461
8,20.74,0.10992,1,1,0.40978,0.00017021,0.00017021,0.00017021
9,23.0779,0.14166,1,1,0.36598,0.000183926,0.000183926,0.000183926
10,25.5337,0.12907,1,1,0.3587,0.000195757,0.000195757,0.000195757
11,27.8944,0.07024,1,1,0.34994,0.000205703,0.000205703,0.000205703
12,30.2252,0.17252,1,1,0.3349,0.000213764,0.000213764,0.000213764
13,32.5554,0.06161,1,1,0.32898,0.000219941,0.000219941,0.000219941
14,34.7834,0.06975,1,1,0.32559,0.000224232,0.000224232,0.000224232
15,37.1834,0.10068,1,1,0.32734,0.000226638,0.000226638,0.000226638
16,39.3924,0.06968,1,1,0.32548,0.000227159,0.000227159,0.000227159
17,41.6667,0.25687,1,1,0.32244,0.000225795,0.000225795,0.000225795
18,43.8716,0.08817,1,1,0.32204,0.000222547,0.000222547,0.000222547
19,46.1113,0.02809,1,1,0.32125,0.000217413,0.000217413,0.000217413
20,48.2946,0.06287,1,1,0.31855,0.000210394,0.000210394,0.000210394
21,50.4777,0.02046,1,1,0.31747,0.000201491,0.000201491,0.000201491
22,52.8003,0.0155,1,1,0.31673,0.000190702,0.000190702,0.000190702
23,55.022,0.17276,1,1,0.31713,0.000178029,0.000178029,0.000178029
24,57.2505,0.02481,1,1,0.31687,0.00016347,0.00016347,0.00016347
25,59.5754,0.04287,1,1,0.31661,0.000147027,0.000147027,0.000147027
26,62.1454,0.14134,1,1,0.31508,0.00012495,0.00012495,0.00012495
27,64.4955,0.022,1,1,0.3148,0.000101388,0.000101388,0.000101388
28,66.867,0.09783,1,1,0.31465,7.7826e-05,7.7826e-05,7.7826e-05
29,69.2588,0.03173,1,1,0.31457,5.4264e-05,5.4264e-05,5.4264e-05
30,71.7941,0.586,1,1,0.31436,3.0702e-05,3.0702e-05,3.0702e-05
