epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.313,0.62755,2.17893,1.15096,0.00677,0.9755,0.622,0.46836,0.55657,2.98273,1.14258,0.00043342,0.00043342,0.00043342
2,354.272,0.62366,0.98605,1.07826,0.98667,0.47684,0.63102,0.49028,0.76551,2.54571,1.31817,0.000866017,0.000866017,0.000866017
3,528.156,0.60953,0.86046,1.08209,0.97622,0.91127,0.97742,0.8225,0.68726,1.6777,1.28305,0.00128079,0.00128079,0.00128079
4,702.987,0.63588,0.81323,1.08137,0.95713,0.95481,0.98047,0.8288,0.63349,1.32823,1.20826,0.00156798,0.00156798,0.00156798
5,874.725,0.57307,0.70784,1.03397,0.96654,0.98845,0.98402,0.82675,0.63773,1.01423,1.269,0.00153497,0.00153497,0.00153497
6,1043.84,0.59535,0.69815,1.04995,0.98502,0.98234,0.98837,0.88078,0.4971,0.85542,1.06981,0.00150197,0.00150197,0.00150197
7,1213.52,0.5505,0.63796,1.03818,0.97319,0.99184,0.98792,0.90251,0.4451,0.76145,0.97623,0.00146896,0.00146896,0.00146896
8,1381.26,0.54728,0.6221,1.03014,0.98442,0.98741,0.98855,0.88369,0.54049,0.80067,1.09486,0.00143595,0.00143595,0.00143595
9,1548.61,0.54894,0.55816,1.02744,0.96747,0.97288,0.98956,0.89754,0.44198,0.6709,0.98472,0.00140295,0.00140295,0.00140295
10,1716.39,0.50782,0.53804,1.00679,0.98858,0.98667,0.98691,0.89935,0.46366,0.61744,0.98113,0.00136994,0.00136994,0.00136994
11,1884.63,0.49094,0.50552,0.99563,0.988,0.98794,0.98931,0.88655,0.49624,0.56405,1.01752,0.00133693,0.00133693,0.00133693
12,2051.89,0.49063,0.4994,1.00482,0.98203,0.9896,0.98876,0.91469,0.42208,0.56342,0.948,0.00130393,0.00130393,0.00130393
13,2217.44,0.46929,0.45082,0.97412,0.98691,0.9905,0.98519,0.90693,0.45047,0.49714,0.96091,0.00127092,0.00127092,0.00127092
