epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6848,0.73672,2.64105,1.15491,0.00333,1,0.995,0.91515,0.27631,3.07293,0.88415,0.00012,0.00012,0.00012
2,82.85,0.54428,2.03777,0.99343,0.00333,1,0.9939,0.89385,0.37383,2.94802,0.94085,0.000254852,0.000254852,0.000254852
3,124.251,0.62777,1.67425,1.04206,0.00333,1,0.995,0.85731,0.4162,2.82084,0.95982,0.00038416,0.00038416,0.00038416
4,166.098,0.6507,1.33539,1.05071,0.00333,1,0.99228,0.87742,0.43211,2.86782,0.9612,0.000507924,0.000507924,0.000507924
5,207.976,0.61161,1.16851,1.00628,0.99985,1,0.995,0.87048,0.48943,1.86365,1.06458,0.000626144,0.000626144,0.000626144
6,250.009,0.59124,1.03397,1.01204,0.99806,1,0.995,0.8807,0.49435,2.03832,0.99188,0.00073882,0.00073882,0.00073882
7,291.809,0.6332,1.03758,1.03558,0.9993,1,0.995,0.87024,0.52959,2.09417,1.07207,0.000845952,0.000845952,0.000845952
8,333.806,0.63153,0.9751,1.02247,1,0.92933,0.98828,0.85148,0.55406,2.45448,1.04254,0.00094754,0.00094754,0.00094754
9,375.51,0.62394,0.90482,1.01483,0.9907,0.99,0.9949,0.83937,0.5155,2.36475,1.04213,0.00104358,0.00104358,0.00104358
10,417.537,0.68841,1.11853,1.04913,0.98826,0.84192,0.9807,0.80155,0.54128,2.53777,1.08811,0.00113408,0.00113408,0.00113408
11,459.693,0.56888,0.90132,0.98448,0.9405,0.9485,0.97209,0.85191,0.52131,2.38518,1.0445,0.00121904,0.00121904,0.00121904
12,501.609,0.62068,0.90925,1.00093,0.9894,0.9336,0.98672,0.80676,0.63783,2.20748,1.13466,0.00129845,0.00129845,0.00129845
13,543.65,0.60046,0.87316,1.01387,0.97922,0.94244,0.98321,0.80979,0.57908,2.20948,1.04974,0.00137232,0.00137232,0.00137232
14,585.651,0.66653,0.832,1.00392,1,0.95808,0.99266,0.8689,0.48571,1.79648,0.96897,0.00144064,0.00144064,0.00144064
15,627.963,0.61167,0.7739,0.99636,0.98985,0.97549,0.98975,0.83775,0.53867,1.76832,1.03753,0.0014456,0.0014456,0.0014456
16,1585.15,0.65761,0.82767,1.0349,0.91027,0.82,0.94396,0.67223,0.89879,2.42342,1.33089,0.001406,0.001406,0.001406
17,1625.9,0.66202,0.7918,0.98709,0.90999,0.78,0.91645,0.64158,1.15195,2.49714,1.5557,0.0013664,0.0013664,0.0013664
18,1666.8,0.58798,0.76514,0.97642,0.96837,0.56,0.71486,0.59298,1.60887,2.55693,2.03641,0.0013268,0.0013268,0.0013268
19,1708.16,0.59769,0.76862,0.99492,0.94039,0.15787,0.35715,0.22483,2.36431,3.22784,2.79958,0.0012872,0.0012872,0.0012872
20,1752.21,0.56806,0.6993,0.98592,0.9099,0.30303,0.48648,0.29169,2.13864,2.95325,2.4902,0.0012476,0.0012476,0.0012476
21,1793.77,0.57895,0.68265,0.98288,0.7825,0.43175,0.56225,0.28377,1.99712,2.93733,2.2764,0.001208,0.001208,0.001208
22,1836.63,0.57438,0.65656,1.00405,0.83129,0.34,0.52905,0.41249,1.10175,2.46359,1.49349,0.0011684,0.0011684,0.0011684
23,1879.71,0.52121,0.65689,0.96401,0.83481,0.84,0.91622,0.808,0.52653,1.41404,0.99765,0.0011288,0.0011288,0.0011288
24,1933.68,0.5162,0.66076,0.985,0.98035,0.97,0.98895,0.89645,0.39863,0.92815,0.92076,0.0010892,0.0010892,0.0010892
25,1991.06,0.52313,0.59671,0.9618,0.98897,1,0.9948,0.90459,0.40245,0.84252,0.91747,0.0010496,0.0010496,0.0010496
26,2040.94,0.57704,0.6567,1.01866,0.99883,1,0.995,0.90189,0.4163,0.85532,0.92255,0.00101,0.00101,0.00101
27,2083.2,0.56637,0.61884,0.97558,0.99861,1,0.995,0.89826,0.42059,0.76708,0.915,0.0009704,0.0009704,0.0009704
28,2125.1,0.53917,0.60885,0.98183,0.99912,1,0.995,0.91326,0.37175,0.69618,0.89486,0.0009308,0.0009308,0.0009308
29,2167.49,0.50061,0.57786,0.94472,0.99915,1,0.995,0.91855,0.36658,0.66484,0.89117,0.0008912,0.0008912,0.0008912
30,2209.33,0.55283,0.60783,0.98838,0.99892,1,0.995,0.92589,0.37194,0.73333,0.9008,0.0008516,0.0008516,0.0008516
31,2251.41,0.51857,0.58252,0.93631,0.95767,1,0.99343,0.90518,0.40043,0.8254,0.92467,0.000812,0.000812,0.000812
32,2293,0.56504,0.6038,0.98468,0.99809,1,0.995,0.92812,0.38593,0.76686,0.9117,0.0007724,0.0007724,0.0007724
33,2334.53,0.52575,0.57189,0.9527,0.99885,1,0.995,0.92925,0.37882,0.75487,0.90958,0.0007328,0.0007328,0.0007328
34,2375.85,0.49819,0.54562,0.96487,0.9991,1,0.995,0.92198,0.37192,0.68651,0.90439,0.0006932,0.0006932,0.0006932
35,2417.5,0.53033,0.518,0.96398,0.99926,1,0.995,0.94544,0.32756,0.6446,0.87269,0.0006536,0.0006536,0.0006536
36,2458.83,0.48458,0.50404,0.92233,0.99934,1,0.995,0.93832,0.33534,0.60379,0.87238,0.000614,0.000614,0.000614
37,2500.14,0.4881,0.48446,0.95156,0.99939,1,0.995,0.93148,0.3296,0.58466,0.86809,0.0005744,0.0005744,0.0005744
38,2541.66,0.47683,0.51085,0.95274,0.99943,1,0.995,0.93686,0.33348,0.54335,0.86386,0.0005348,0.0005348,0.0005348
39,2583.22,0.53717,0.52597,1.00812,0.99942,1,0.995,0.93628,0.31776,0.53735,0.85582,0.0004952,0.0004952,0.0004952
40,2624.59,0.52408,0.51242,0.94858,0.99943,1,0.995,0.9363,0.31635,0.53075,0.86107,0.0004556,0.0004556,0.0004556
41,2677.22,0.37097,0.64709,0.90061,0.99944,1,0.995,0.93886,0.32493,0.56128,0.86059,0.000416,0.000416,0.000416
42,2719.51,0.36117,0.60373,0.87895,0.99943,1,0.995,0.93936,0.31048,0.63578,0.85432,0.0003764,0.0003764,0.0003764
43,2761.39,0.3469,0.59349,0.91538,0.99939,1,0.995,0.94063,0.30718,0.64777,0.85683,0.0003368,0.0003368,0.0003368
44,2802.9,0.39556,0.60061,0.86767,0.99936,1,0.995,0.94752,0.3195,0.59976,0.86232,0.0002972,0.0002972,0.0002972
45,2844.35,0.32692,0.57027,0.87809,0.9994,1,0.995,0.94424,0.31769,0.57618,0.85942,0.0002576,0.0002576,0.0002576
46,2885.86,0.31428,0.54915,0.86307,0.99937,1,0.995,0.94064,0.31494,0.54155,0.85936,0.000218,0.000218,0.000218
47,2927.4,0.3209,0.5265,0.8609,0.99941,1,0.995,0.9383,0.3062,0.52638,0.85364,0.0001784,0.0001784,0.0001784
