epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6631,0.79535,2.85453,1.20789,0.00333,1,0.97321,0.75536,0.4594,3.15574,0.99122,0.00012,0.00012,0.00012
2,97.569,0.5522,2.18558,0.98874,0.00333,1,0.995,0.87601,0.39808,2.99309,0.89912,0.00024713,0.00024713,0.00024713
3,145.543,0.55692,1.72447,0.98297,0.00333,1,0.995,0.91596,0.38591,2.90705,0.91086,0.0003604,0.0003604,0.0003604
4,193.422,0.62116,1.39861,1.03409,0.90954,1,0.995,0.84635,0.46237,2.81165,0.93656,0.00045981,0.00045981,0.00045981
5,239.089,0.5919,1.166,0.9738,0.99535,1,0.995,0.86534,0.55403,2.38192,0.98404,0.00054536,0.00054536,0.00054536
6,284.636,0.5685,1.04514,0.97868,0.99689,1,0.995,0.8899,0.5124,2.24539,1.01956,0.00061705,0.00061705,0.00061705
7,329.077,0.62175,1.05932,0.98075,1,0.98165,0.99409,0.87302,0.54972,2.36039,1.03626,0.00067488,0.00067488,0.00067488
8,373.716,0.67423,1.01313,1.02668,1,0.9883,0.995,0.8961,0.48789,2.46831,0.95021,0.00071885,0.00071885,0.00071885
9,418.383,0.57141,0.86586,0.94542,0.99658,1,0.995,0.90976,0.47802,2.23174,0.93644,0.00074896,0.00074896,0.00074896
10,464.207,0.56108,1.21622,0.96102,0.99943,1,0.995,0.91993,0.44136,2.26265,0.8978,0.00076521,0.00076521,0.00076521
11,525.925,0.41253,1.27428,0.8855,0.92875,0.97,0.98825,0.87385,0.52665,2.58778,1.04468,0.0007676,0.0007676,0.0007676
12,586.174,0.43105,1.30692,0.89831,0.99484,1,0.995,0.88623,0.51402,1.97535,1.02371,0.00075613,0.00075613,0.00075613
13,646.859,0.39885,1.15145,0.90052,0.99821,1,0.995,0.88576,0.47,1.70087,0.94564,0.0007308,0.0007308,0.0007308
14,700.61,0.4144,1.10653,0.90798,0.99845,1,0.995,0.85999,0.49643,1.52659,0.93172,0.00069161,0.00069161,0.00069161
15,756.082,0.42655,1.09069,0.91015,0.99936,1,0.995,0.92594,0.35269,1.36661,0.84588,0.000614,0.000614,0.000614
16,820.017,0.39689,1.03868,0.88256,0.99939,1,0.995,0.92395,0.38817,1.2495,0.86722,0.000515,0.000515,0.000515
17,874.557,0.35719,1.00796,0.89155,0.99942,1,0.995,0.92243,0.37261,1.18823,0.84833,0.000416,0.000416,0.000416
18,944.254,0.35991,0.96611,0.89242,0.99946,1,0.995,0.91818,0.35943,1.0955,0.85336,0.000317,0.000317,0.000317
19,1014.14,0.33166,0.92925,0.88037,0.99942,1,0.995,0.93467,0.33305,1.02651,0.83884,0.000218,0.000218,0.000218
20,1082.32,0.35997,0.93259,0.87715,0.99942,1,0.995,0.94124,0.33746,0.99536,0.84415,0.000119,0.000119,0.000119
